batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
188,96256,0.998094,-4.89461,0.121763,-5.29731,-4.50658,-4.97722,-4.89913,-4.82132
189,96768,0.998084,-4.88143,0.113173,-5.18038,-4.53283,-4.96021,-4.88339,-4.80142
190,97280,0.998074,-4.8956,0.115273,-5.26801,-4.35543,-4.97167,-4.90151,-4.82747
191,97792,0.998064,-4.88993,0.120058,-5.49172,-4.4845,-4.96355,-4.8891,-4.81379
192,98304,0.998054,-4.887,0.125853,-5.38172,-4.36133,-4.96952,-4.88798,-4.80949
193,98816,0.998043,-4.88673,0.11846,-5.26565,-4.48087,-4.96498,-4.88432,-4.81079
194,99328,0.998033,-4.88034,0.11352,-5.18987,-4.54721,-4.9595,-4.88627,-4.80503
195,99840,0.998023,-4.89037,0.116545,-5.44094,-4.52234,-4.96277,-4.8938,-4.81301
196,100352,0.998013,-4.8899,0.120131,-5.378,-4.52473,-4.97597,-4.89498,-4.81726
197,100864,0.998003,-4.89567,0.123734,-5.38625,-4.54945,-4.97186,-4.90336,-4.81782
198,101376,0.997993,-4.89731,0.11029,-5.27782,-4.52862,-4.97175,-4.89754,-4.82588
199,101888,0.997983,-4.89528,0.116855,-5.34127,-4.50889,-4.96075,-4.90096,-4.82613
200,102400,0.997972,-4.88727,0.122172,-5.21064,-4.40791,-4.96871,-4.88577,-4.8086
201,102912,0.997962,-4.88617,0.117549,-5.27778,-4.45203,-4.95978,-4.89515,-4.81188
202,103424,0.997952,-4.89068,0.118809,-5.40539,-4.40908,-4.96283,-4.8979,-4.81822
203,103936,0.997942,-4.88544,0.118889,-5.22968,-4.54444,-4.96199,-4.89327,-4.8098
204,104448,0.997932,-4.88729,0.124236,-5.37546,-4.42657,-4.96646,-4.88693,-4.80576
205,104960,0.997922,-4.89121,0.115949,-5.38983,-4.47993,-4.96443,-4.8953,-4.81895
206,105472,0.997912,-4.89228,0.117374,-5.27742,-4.41963,-4.96974,-4.89829,-4.82573
207,105984,0.997902,-4.89176,0.118515,-5.21803,-4.42706,-4.97417,-4.89737,-4.81452
208,106496,0.997891,-4.89711,0.114282,-5.28357,-4.46654,-4.96812,-4.90013,-4.82801
209,107008,0.997881,-4.89706,0.118125,-5.34127,-4.41656,-4.9655,-4.90317,-4.82477
210,107520,0.997871,-4.89541,0.110266,-5.24267,-4.4087,-4.9646,-4.89765,-4.826
211,108032,0.997861,-4.89056,0.113732,-5.30278,-4.47439,-4.96871,-4.89154,-4.81504
212,108544,0.997851,-4.89001,0.120262,-5.26252,-4.43438,-4.97474,-4.89864,-4.81041
213,109056,0.997841,-4.8961,0.114007,-5.23748,-4.49605,-4.96366,-4.90499,-4.82757
214,109568,0.997831,-4.89178,0.116692,-5.23626,-4.51424,-4.96843,-4.89548,-4.81334
215,110080,0.99782,-4.89232,0.121827,-5.21079,-4.4755,-4.97184,-4.90279,-4.82082
216,110592,0.99781,-4.87954,0.118481,-5.28167,-4.4962,-4.95546,-4.88298,-4.80731
217,111104,0.9978,-4.89516,0.117186,-5.23138,-4.40222,-4.96564,-4.90293,-4.82006
218,111616,0.99779,-4.89817,0.12249,-5.28022,-4.35799,-4.97409,-4.90076,-4.81813
219,112128,0.99778,-4.89111,0.117416,-5.2674,-4.48203,-4.96774,-4.89217,-4.8181
220,112640,0.99777,-4.89683,0.116358,-5.44802,-4.5348,-4.96889,-4.90099,-4.82441
221,113152,0.99776,-4.89608,0.114961,-5.28194,-4.50573,-4.97576,-4.89733,-4.8318
222,113664,0.997749,-4.88676,0.113939,-5.32306,-4.52387,-4.9556,-4.88863,-4.81642
223,114176,0.997739,-4.89246,0.118252,-5.51862,-4.45652,-4.96651,-4.89241,-4.81708
224,114688,0.997729,-4.89649,0.113417,-5.35269,-4.43651,-4.97243,-4.89335,-4.82262
225,115200,0.997719,-4.89556,0.123793,-5.26618,-4.37528,-4.97678,-4.89982,-4.81607
226,115712,0.997709,-4.88823,0.124124,-5.29567,-4.35308,-4.9665,-4.89884,-4.81478
227,116224,0.997699,-4.88308,0.11811,-5.39683,-4.53917,-4.95196,-4.89107,-4.80818
