batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
172,88064,0.998256,-4.89176,0.115854,-5.35348,-4.49861,-4.96035,-4.88786,-4.82391
173,88576,0.998246,-4.89835,0.114778,-5.36118,-4.54621,-4.96565,-4.89798,-4.83146
174,89088,0.998236,-4.88973,0.11833,-5.2429,-4.38008,-4.96451,-4.9036,-4.81997
175,89600,0.998226,-4.88769,0.119339,-5.38767,-4.45139,-4.96788,-4.8913,-4.81411
176,90112,0.998216,-4.89242,0.117975,-5.4099,-4.4776,-4.97149,-4.89575,-4.81966
177,90624,0.998206,-4.89262,0.116501,-5.21251,-4.50794,-4.97126,-4.89749,-4.82472
178,91136,0.998196,-4.88767,0.118,-5.3086,-4.55883,-4.96596,-4.89428,-4.81116
179,91648,0.998185,-4.88866,0.112534,-5.26475,-4.52629,-4.96026,-4.89049,-4.81745
180,92160,0.998175,-4.88328,0.118869,-5.17978,-4.47314,-4.96333,-4.89003,-4.81099
181,92672,0.998165,-4.8866,0.116914,-5.1681,-4.50084,-4.96718,-4.89036,-4.8102
182,93184,0.998155,-4.89764,0.116441,-5.23182,-4.41462,-4.97285,-4.89711,-4.82744
183,93696,0.998145,-4.89606,0.116762,-5.36153,-4.44212,-4.97321,-4.90148,-4.82651
184,94208,0.998135,-4.88244,0.113928,-5.24981,-4.5391,-4.96645,-4.88835,-4.80527
185,94720,0.998125,-4.89175,0.111639,-5.21391,-4.46855,-4.96424,-4.89641,-4.8222
186,95232,0.998114,-4.88882,0.122706,-5.34148,-4.41632,-4.96924,-4.893,-4.81225
187,95744,0.998104,-4.8933,0.112121,-5.28266,-4.52665,-4.96577,-4.89432,-4.81927
188,96256,0.998094,-4.89428,0.121779,-5.29731,-4.5065,-4.97744,-4.8968,-4.8206
189,96768,0.998084,-4.88084,0.114519,-5.18038,-4.53283,-4.96043,-4.88301,-4.80098
190,97280,0.998074,-4.89748,0.116833,-5.26801,-4.35543,-4.97139,-4.90232,-4.82747
191,97792,0.998064,-4.89088,0.12002,-5.49172,-4.4845,-4.96511,-4.8904,-4.81555
192,98304,0.998054,-4.88658,0.126189,-5.38172,-4.36133,-4.96959,-4.88732,-4.80733
193,98816,0.998043,-4.88816,0.119779,-5.26565,-4.48087,-4.96637,-4.88413,-4.81071
194,99328,0.998033,-4.88011,0.114856,-5.18987,-4.49826,-4.9641,-4.88682,-4.80503
195,99840,0.998023,-4.89002,0.115988,-5.44094,-4.52234,-4.96294,-4.89151,-4.81108
196,100352,0.998013,-4.88966,0.118576,-5.31015,-4.52473,-4.97741,-4.89498,-4.817
197,100864,0.998003,-4.89568,0.123991,-5.38625,-4.54945,-4.97189,-4.90349,-4.81752
198,101376,0.997993,-4.89707,0.111124,-5.27782,-4.4922,-4.97175,-4.89682,-4.8247
199,101888,0.997983,-4.89533,0.116222,-5.34127,-4.50889,-4.96154,-4.90129,-4.82657
200,102400,0.997972,-4.88877,0.120568,-5.21064,-4.40791,-4.96769,-4.88645,-4.81258
201,102912,0.997962,-4.88558,0.118375,-5.27778,-4.45203,-4.96299,-4.89393,-4.81188
202,103424,0.997952,-4.8918,0.12013,-5.40539,-4.40908,-4.96381,-4.8979,-4.81746
203,103936,0.997942,-4.88572,0.119224,-5.22968,-4.54444,-4.96216,-4.89426,-4.80569
204,104448,0.997932,-4.88836,0.123878,-5.37546,-4.42657,-4.96646,-4.88478,-4.80774
205,104960,0.997922,-4.89157,0.116356,-5.38983,-4.47993,-4.96651,-4.89269,-4.81895
206,105472,0.997912,-4.89118,0.118065,-5.27742,-4.41963,-4.96864,-4.89867,-4.82356
207,105984,0.997902,-4.89187,0.117632,-5.21803,-4.42706,-4.97422,-4.89657,-4.81474
208,106496,0.997891,-4.89772,0.114185,-5.28357,-4.46654,-4.9678,-4.9004,-4.82895
209,107008,0.997881,-4.89761,0.117679,-5.34127,-4.41656,-4.96681,-4.90377,-4.8241
210,107520,0.997871,-4.89518,0.111264,-5.24267,-4.4087,-4.96426,-4.89788,-4.83043
211,108032,0.997861,-4.89065,0.112626,-5.30278,-4.49988,-4.9681,-4.89214,-4.81607
212,108544,0.997851,-4.89008,0.119947,-5.26252,-4.43438,-4.97629,-4.90048,-4.8113
213,109056,0.997841,-4.89714,0.116358,-5.23748,-4.49605,-4.96606,-4.90442,-4.8276
